uniform_250,uniform_350,gaus_250,gaus_350,timestep
NaN,NaN,NaN,NaN,619
NaN,NaN,NaN,NaN,620
NaN,NaN,NaN,NaN,621
NaN,NaN,NaN,NaN,622
NaN,NaN,NaN,NaN,623
NaN,NaN,NaN,NaN,624
NaN,NaN,NaN,NaN,625
NaN,NaN,NaN,NaN,626
NaN,NaN,NaN,NaN,627
NaN,NaN,NaN,NaN,628
NaN,NaN,NaN,NaN,629
NaN,NaN,NaN,NaN,630
NaN,NaN,NaN,21.0,631
NaN,NaN,NaN,NaN,632
NaN,14.0,NaN,NaN,633
NaN,16.0,NaN,NaN,634
NaN,NaN,NaN,NaN,635
NaN,NaN,NaN,NaN,636
NaN,NaN,NaN,NaN,637
NaN,NaN,NaN,NaN,638
NaN,NaN,NaN,NaN,639
NaN,NaN,NaN,NaN,640
NaN,NaN,NaN,NaN,641
NaN,NaN,NaN,NaN,642
NaN,NaN,NaN,NaN,643
NaN,NaN,NaN,NaN,644
NaN,NaN,NaN,NaN,645
NaN,NaN,NaN,NaN,646
NaN,NaN,NaN,NaN,647
NaN,NaN,NaN,NaN,648
NaN,NaN,NaN,NaN,649
NaN,NaN,NaN,NaN,650
NaN,NaN,NaN,NaN,651
NaN,NaN,NaN,NaN,652
NaN,NaN,NaN,NaN,653
NaN,NaN,NaN,NaN,654
NaN,NaN,NaN,NaN,655
NaN,NaN,NaN,NaN,656
NaN,NaN,NaN,NaN,657
NaN,NaN,NaN,NaN,658
NaN,NaN,NaN,NaN,659
NaN,NaN,NaN,NaN,660
NaN,NaN,NaN,NaN,661
NaN,NaN,NaN,NaN,662
NaN,NaN,NaN,NaN,663
NaN,NaN,NaN,NaN,664
NaN,NaN,NaN,NaN,665
NaN,NaN,NaN,NaN,666
NaN,NaN,NaN,NaN,667
NaN,NaN,NaN,NaN,668
NaN,NaN,NaN,NaN,669
NaN,NaN,NaN,NaN,670
NaN,NaN,NaN,NaN,671
NaN,NaN,NaN,NaN,672
NaN,NaN,NaN,NaN,673
NaN,NaN,NaN,NaN,674
NaN,NaN,NaN,NaN,675
NaN,NaN,NaN,NaN,676
NaN,NaN,NaN,NaN,677
NaN,15.0,NaN,NaN,678
NaN,NaN,NaN,NaN,679
NaN,NaN,NaN,17.0,680
NaN,NaN,NaN,NaN,681
NaN,NaN,NaN,NaN,682
NaN,NaN,NaN,NaN,683
NaN,NaN,NaN,NaN,684
NaN,NaN,NaN,NaN,685
NaN,NaN,NaN,NaN,686
NaN,NaN,NaN,NaN,687
NaN,NaN,NaN,NaN,688
NaN,NaN,NaN,NaN,689
NaN,NaN,NaN,NaN,690
NaN,NaN,NaN,NaN,691
NaN,NaN,NaN,15.0,692
NaN,NaN,NaN,NaN,693
NaN,NaN,NaN,NaN,694
NaN,NaN,NaN,NaN,695
NaN,NaN,NaN,NaN,696
NaN,NaN,NaN,NaN,697
NaN,NaN,NaN,NaN,698
NaN,NaN,NaN,NaN,699
NaN,NaN,NaN,NaN,700
NaN,NaN,NaN,NaN,701
NaN,NaN,NaN,NaN,702
NaN,NaN,NaN,NaN,703
NaN,NaN,NaN,NaN,704
NaN,NaN,NaN,NaN,705
NaN,NaN,NaN,NaN,706
NaN,NaN,NaN,NaN,707
NaN,NaN,NaN,NaN,708
NaN,NaN,NaN,NaN,709
NaN,NaN,NaN,NaN,710
NaN,13.0,NaN,NaN,711
NaN,NaN,NaN,NaN,712
NaN,NaN,NaN,NaN,713
NaN,NaN,NaN,NaN,714
NaN,NaN,NaN,NaN,715
NaN,NaN,NaN,NaN,716
NaN,NaN,NaN,NaN,717
NaN,NaN,NaN,NaN,718
NaN,NaN,NaN,NaN,719
NaN,NaN,NaN,NaN,720
NaN,NaN,NaN,NaN,721
NaN,NaN,NaN,NaN,722
NaN,NaN,NaN,NaN,723
NaN,12.0,NaN,NaN,724
NaN,NaN,NaN,NaN,725
NaN,11.0,NaN,NaN,726
NaN,NaN,NaN,NaN,727
NaN,NaN,NaN,NaN,728
NaN,NaN,NaN,NaN,729
NaN,NaN,NaN,NaN,730
NaN,NaN,NaN,NaN,731
NaN,NaN,NaN,NaN,732
NaN,NaN,NaN,16.0,733
NaN,NaN,NaN,NaN,734
NaN,NaN,NaN,NaN,735
NaN,NaN,NaN,NaN,736
NaN,NaN,NaN,NaN,737
NaN,NaN,NaN,NaN,738
NaN,NaN,NaN,NaN,739
NaN,NaN,NaN,NaN,740
NaN,NaN,NaN,NaN,741
NaN,NaN,NaN,NaN,742
NaN,NaN,NaN,NaN,743
NaN,NaN,NaN,NaN,744
NaN,NaN,NaN,NaN,745
NaN,NaN,NaN,NaN,746
NaN,NaN,NaN,NaN,747
NaN,NaN,NaN,NaN,748
NaN,NaN,NaN,NaN,749
NaN,NaN,NaN,NaN,750
NaN,NaN,NaN,NaN,751
NaN,NaN,NaN,NaN,752
NaN,NaN,NaN,NaN,753
NaN,NaN,NaN,NaN,754
NaN,NaN,NaN,NaN,755
